pid,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
25,6.474984,200,10.271985,10.0117607871,0.600456,0.1511953465,-0.596865,0.435077099,-0.617045,0.1888666287,0.580091,0.0424940594,1,-0.1275198119,-0.3551013859,0.2861873431,0.3007512928,0.5080002551,0.6316704194,94.6546754766,107.9445755694,1,2
25,200,200,10.338778,4.653754741,-0.383833,0.122324759,-2.944633,1.1357747711,0.490298,0.0851637229,2.923728,0.5027934458,2,1.3961768195,0.475309303,0.2680582337,0.3029988357,0.5154260948,0.7460255241,86.5101548699,114.785046661,2,2
25,200,18.986676,9.633541,2.463980569,-0.152322,0.0342431186,-2.930145,0.8791575448,-0.277891,0.0340155109,3.327535,0.3655485182,3,1.6075209583,0.5481559487,0.2084794433,0.2518248085,0.6835034484,0.8781874506,104.6644315101,134.8316066192,3,2
25,200,200,9.710018,8.8517389575,3.789225,1.6739850734,-1.932196,0.4935639614,-2.043432,0.7673101815,-0.972836,0.2315605174,1,0.9383381441,-0.0201225755,0.262981069,0.3046823517,0.4518781707,0.5541434156,74.1931952352,80.2441816849,4,2
9,7.2024206803,200,10.205718,9.7134947413,0.551719,0.1872449552,-0.368637,0.15947701,-0.147836,0.0499329005,0.093252,0.0339666965,1,0.0134421928,-0.0209360076,0.2027091214,0.2353194033,0.796694322,0.872296948,130.1903633615,170.8384038491,1,0
9,200,30.851827,9.749951,4.2483175699,-0.306346,0.1046361425,-2.895815,0.9307084575,0.193598,0.0353097589,1.13909,0.2620015452,1,0.2189925548,0.0751451571,0.248384666,0.2852129243,0.5500947002,0.709840096,124.7739169075,190.8978593667,2,0
9,200,16.274537,11.612985,1.7226687242,0.838447,0.1984776337,-4.025229,0.8164770926,-0.239828,0.0288333158,-2.072683,0.23129588,1,0.5733652268,0.2653213791,0.2236889333,0.3120674688,0.5106886632,0.7445915853,91.6428618984,135.0315064266,3,0
9,200,200,9.737537,9.0965168893,3.943008,1.7450492648,-1.477924,0.4243337549,-0.872029,0.3052763953,-0.324383,0.0717470198,2,0.1137369837,-0.0037187487,0.226349681,0.2784402317,0.6406535663,0.902352214,126.4936256233,138.0750913921,4,0
12,6.442909,200,10.157352,9.6398062475,0.499128,0.1763108911,-0.350711,0.1814038911,-0.372028,0.1293855149,0.274781,0.0845302525,1,-0.285661401,-0.5190147521,0.2266288234,0.257818251,0.4426592468,0.511329497,92.9040823098,105.5311319181,1,0
12,200,37.279955,11.461219,2.4782708151,-0.373523,0.1306819003,3.112223,0.6775626093,-1.111977,0.058472008,-3.148629,0.3433849855,2,0.466918964,0.1255327087,0.2407757498,0.2966782613,0.5110847622,0.727545135,117.0441280484,138.5628202031,2,0
12,200,10.320844,11.123683,2.1170545567,1.031733,0.2121524081,-3.220238,0.8509511788,1.140397,0.1314744358,3.203503,0.5109070101,3,0.8169232683,0.3815761139,0.2350919745,0.2713263024,0.636626561,0.7300054631,111.4290644522,125.1522128433,3,0
12,200,200,9.691565,9.0190814824,3.818189,1.6738301255,-1.664475,0.4160120941,-2.283818,0.7451067608,-0.961697,0.203158651,1,-0.2955416266,-0.2946411468,0.2408367463,0.2645192716,0.5037863219,0.5636147745,87.6702474754,97.178813062,4,0
29,5.0689,200,10.227844,9.9287667833,0.566438,0.1763419064,-0.785211,0.4717789901,-0.791847,0.1908082069,0.46323,0.0652368325,0,-0.0007284813,-0.0007284813,,,0.2724200521,0.4654065676,86.7902287459,118.9538625019,1,1
29,200,200,10.443008,4.4910218069,-0.381196,0.1376920922,-2.829516,1.0747668991,-0.466355,0.0902562133,2.996394,0.4523382305,0,-0.0017153879,-0.0017153879,,,0.4967512372,0.5895419944,84.8951359656,126.641596947,2,1
29,200,11.750838,10.045055,2.7181734764,-0.188747,0.0847687732,-2.580416,0.7193637618,-0.224161,0.0298594386,2.766979,0.3304031853,0,-0.0008801655,-0.0008801655,,,0.1836879187,0.509324394,103.1640261241,159.7565824407,3,1
